timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
737782273,737780314,0.30068594,2.0943326e-06,-1.1449683,1.0091244,0.1443443,1.0046841,0
737873735,737871634,0.30082905,2.0898399e-06,-1.0854026,1.0025709,0.1305642,1.0,0
737975280,737973139,0.30096284,2.0886016e-06,-0.21346512,1.0025419,0.0050502033,1.0,0
738076698,738074706,0.3011618,2.0875755e-06,-1.8404696,1.0025698,0.3754051,1.0143929,0
738179174,738176124,0.30107272,2.0874984e-06,0.93661416,1.0185239,0.095699064,1.0193261,0
738377114,738374010,0.30142412,2.086022e-06,-1.8618034,1.0025347,0.384172,1.0151067,0
738478037,738475784,0.3016744,2.0848086e-06,-2.0755262,1.002642,0.47738424,1.0211716,0
738579743,738576989,0.30180976,2.0839473e-06,-0.63390344,1.0024494,0.044539083,1.0,0
738681485,738678485,0.30175632,2.084467e-06,0.8684541,1.0023791,0.08360249,1.0030713,0
738782665,738779977,0.30173093,2.0850714e-06,0.7580768,1.0023286,0.06370503,1.0,0
738879685,738876382,0.30147606,2.0862533e-06,0.2607358,1.0533738,0.007170945,1.0422767,0
739082383,739079359,0.30161527,2.0869247e-06,0.04729706,1.0101374,0.00024606244,1.0,0
739173823,739170706,0.30163145,2.0832983e-06,-0.49977124,1.0025076,0.02768295,1.0,0
739274903,739272188,0.30140537,2.084209e-06,1.7449657,1.0022422,0.3375659,1.0230669,0
739478285,739475164,0.3016868,2.0875943e-06,-0.6437104,1.0023525,0.045932285,1.0,0
739578695,739576650,0.30212763,2.0878745e-06,-1.3577898,1.010401,0.20273502,1.0103312,0
739680153,739678140,0.30215752,2.0876982e-06,0.735072,1.0138671,0.059215613,1.0104822,0
739781790,739779845,0.30214733,2.0873456e-06,0.8859695,1.0024003,0.087006934,1.0017952,0
739878157,739876075,0.30223465,2.0869127e-06,-0.67769676,1.0024098,0.05090764,1.0,0
739979644,739977531,0.3025085,2.0864716e-06,-0.3846007,1.0025195,0.016393995,1.0,0
740081077,740079024,0.30249086,2.0879143e-06,-1.8499659,1.002365,0.37936658,1.016214,0
740182543,740180503,0.30240807,2.0885439e-06,0.4535135,1.0098277,0.022630317,1.001357,0
740275021,740272109,0.3025023,2.0865746e-06,0.5227391,1.0023664,0.03029012,1.0,0
740376710,740373330,0.30252892,2.087361e-06,-0.4174388,1.0023323,0.01931663,1.0,0
740476857,740474816,0.3025248,2.0884236e-06,-0.23910572,1.0023378,0.006337578,1.0,0
740584068,740581381,0.30251202,2.0902742e-06,0.9539329,1.0023689,0.10087081,1.0015925,0
740674781,740672715,0.3024448,2.0881107e-06,0.6259664,1.0060716,0.043274365,1.0,0
740776944,740774258,0.30259326,2.088302e-06,-0.7487581,1.0023856,0.062144928,1.0,0
740878896,740875689,0.30253053,2.0889688e-06,0.6283386,1.0022924,0.043767374,1.0,0
740979226,740977176,0.3025009,2.090094e-06,0.8482134,1.0022681,0.079759754,1.0,0
741080981,741078667,0.3024671,2.089939e-06,0.26998866,1.002549,0.008078726,1.0,0
741182138,741180231,0.3023464,2.0903708e-06,0.29601523,1.002238,0.0097143715,1.0,0
741274541,741271494,0.3022909,2.0885047e-06,0.24943829,1.0024034,0.006896698,1.0,0
741375710,741372975,0.30228713,2.0887992e-06,0.8961774,1.0023903,0.08902432,1.0,0
742379677,742377681,0.30283588,2.0848606e-06,-0.55533034,1.0024719,0.03418126,1.0,0
