timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
322786993,322786622,-0.0012743691,-0.015834488,0.014895217,0.29902962,0.0,0.0,0.0,-1.0
322793316,322792964,0.006991925,-0.014959751,0.01910314,0.29902962,0.0,0.0,0.0,-1.0
322794557,322794233,0.006761932,-0.013037495,0.016541721,0.29902962,0.0,0.0,0.0,-1.0
322878315,322877960,0.0018164732,-0.011472442,0.019294553,0.31472248,0.0,0.0,0.0,-1.0
322883535,322883209,0.0065077445,-0.0117709795,0.016120778,0.31472248,0.0,0.0,0.0,-1.0
322886213,322885833,0.0014157668,-0.0136378165,0.019996297,0.31472248,0.0,0.0,0.0,-1.0
322889904,322889563,-0.005545512,-0.013798585,0.018179016,0.31472248,0.0,0.0,0.0,-1.0
322892448,322892055,-0.001197336,-0.010223369,0.0179658,0.31472248,0.0,0.0,0.0,-1.0
322896198,322895819,-0.0019481679,-0.007119211,0.021238627,0.31799728,0.0,0.0,0.0,-1.0
322899866,322899543,0.0013122096,-0.0043350235,0.01765175,0.31799728,0.0,0.0,0.0,-1.0
322903679,322903335,6.8229136e-05,-0.0064593456,0.019048087,0.31799728,0.0,0.0,0.0,-1.0
322906337,322905880,0.0011675061,-0.006494867,0.016329508,0.31799728,0.0,0.0,0.0,-1.0
322910029,322909683,-0.003445228,-0.009030062,0.0155541,0.31799728,0.0,0.0,0.0,-1.0
322913827,322913493,0.00028313708,-0.007742363,0.0155539,0.31890103,0.0,0.0,0.0,-1.0
323021655,323021316,0.00065171754,-0.014779364,0.016043821,0.32975364,0.0,0.0,0.0,-1.0
323025524,323025131,0.001375568,-0.014587839,0.0141558135,0.32975364,0.0,0.0,0.0,-1.0
323030534,323030195,-0.0034211162,-0.015555605,0.015934674,0.32975364,0.0,0.0,0.0,-1.0
323033107,323032740,-0.0041465396,-0.0139808925,0.014525048,0.32975364,0.0,0.0,0.0,-1.0
323035651,323035282,-0.0037126432,-0.0112720225,0.012486779,0.3257637,0.0,0.0,0.0,-1.0
323041952,323041613,-0.0041483296,-0.010087457,0.012180939,0.3257637,0.0,0.0,0.0,-1.0
323043308,323042883,-0.0036204816,-0.010184662,0.010989212,0.3257637,0.0,0.0,0.0,-1.0
323045752,323045425,-0.0050582676,-0.011682275,0.014542987,0.3257637,0.0,0.0,0.0,-1.0
323052265,323051933,-0.006297411,-0.015297808,0.010824935,0.3257637,0.0,0.0,0.0,-1.0
323053538,323053211,-0.0051136287,-0.015648486,0.011220328,0.3257637,0.0,0.0,0.0,-1.0
323057316,323056934,-0.008416835,-0.01667459,0.014526959,0.32722837,0.0,0.0,0.0,-1.0
323061024,323060685,-0.007233205,-0.018599693,0.011794735,0.32722837,0.0,0.0,0.0,-1.0
323063543,323063218,-0.0057736216,-0.018963657,0.013409118,0.32722837,0.0,0.0,0.0,-1.0
323067314,323066984,-0.005784435,-0.018353457,0.015529991,0.32722837,0.0,0.0,0.0,-1.0
323072392,323072060,-0.008136702,-0.020206569,0.015160429,0.32722837,0.0,0.0,0.0,-1.0
323126950,323126609,-0.0048792283,-0.013152809,0.012750147,0.30855104,0.0,0.0,0.0,-1.0
323133473,323133152,-0.0050723306,-0.011873875,0.012351084,0.30855104,0.0,0.0,0.0,-1.0
323137220,323136895,-0.00587728,-0.008987654,0.009895369,0.28699455,0.0,0.0,0.0,-1.0
323143473,323143148,-0.005896017,-0.009800244,0.011229705,0.28699455,0.0,0.0,0.0,-1.0
323144719,323144392,-0.006072335,-0.009123819,0.010230493,0.28699455,0.0,0.0,0.0,-1.0
323148544,323148196,-0.008206612,-0.00896337,0.01117695,0.28699455,0.0,0.0,0.0,-1.0
323153608,323153251,-0.010844702,-0.009721596,0.009231638,0.28699455,0.0,0.0,0.0,-1.0
323154845,323154521,-0.009760295,-0.010072566,0.0112713035,0.28699455,0.0,0.0,0.0,-1.0
323158709,323158332,-0.0050796857,-0.012634475,0.0108496165,0.27540112,0.0,0.0,0.0,-1.0
323163735,323163400,-0.0040351446,-0.0129957255,0.014102272,0.27540112,0.0,0.0,0.0,-1.0
323164998,323164670,-0.0021780587,-0.011875838,0.012956124,0.27540112,0.0,0.0,0.0,-1.0
323168872,323168484,0.0035548669,-0.0067186444,0.01111544,0.27540112,0.0,0.0,0.0,-1.0
323172624,323172281,0.0070779165,-0.0058386168,0.0117033655,0.27540112,0.0,0.0,0.0,-1.0
323176486,323176106,0.00581009,-0.0071943626,0.014328863,0.27540112,0.0,0.0,0.0,-1.0
323178949,323178626,0.000981649,-0.006119382,0.00831643,0.27637997,0.0,0.0,0.0,-1.0
323250021,323249677,-0.0031333896,-0.014272531,0.010060242,0.28206798,0.0,0.0,0.0,-1.0
323255065,323254741,-0.0016707188,-0.014820249,0.008153257,0.28206798,0.0,0.0,0.0,-1.0
323256354,323256010,0.002220794,-0.012590737,0.0087574255,0.28206798,0.0,0.0,0.0,-1.0
323260241,323259826,0.0023171643,-0.015375812,0.007074774,0.28644875,0.0,0.0,0.0,-1.0
323265229,323264890,0.0092904745,-0.0156756,0.01095242,0.28644875,0.0,0.0,0.0,-1.0
323266489,323266162,0.005401949,-0.013956795,0.011136181,0.28644875,0.0,0.0,0.0,-1.0
323270359,323269972,0.0072990684,-0.016272975,0.0070299683,0.28644875,0.0,0.0,0.0,-1.0
323274103,323273770,-0.0025753388,-0.018906843,0.0060473382,0.28644875,0.0,0.0,0.0,-1.0
323277970,323277577,0.00057951175,-0.016777031,0.011239315,0.28644875,0.0,0.0,0.0,-1.0
323280477,323280138,0.0019551709,-0.0147219645,0.008198476,0.2901958,0.0,0.0,0.0,-1.0
323285521,323285197,-0.010250206,-0.016770469,0.0071114716,0.2901958,0.0,0.0,0.0,-1.0
323288134,323287748,-0.0034568042,-0.015311417,0.0058521996,0.2901958,0.0,0.0,0.0,-1.0
323292083,323291739,0.004100154,-0.01145721,0.007926263,0.2901958,0.0,0.0,0.0,-1.0
323295881,323295559,-0.0012413024,-0.013485502,0.005706284,0.2901958,0.0,0.0,0.0,-1.0
323379576,323379239,-0.0011840676,-0.0069529237,0.0031689,0.28929883,0.0,0.0,0.0,-1.0
323382145,323381795,0.0030299,-0.007160312,0.0072412067,0.29083335,0.0,0.0,0.0,-1.0
323387152,323386774,-0.006303016,-0.0068446323,0.005686004,0.29083335,0.0,0.0,0.0,-1.0
323389632,323389295,-0.006375828,-0.0077010468,0.0050197523,0.29083335,0.0,0.0,0.0,-1.0
323393409,323393025,0.002305192,-0.00378252,0.003797823,0.29083335,0.0,0.0,0.0,-1.0
323397168,323396828,-0.008026302,-0.008639534,0.0048157037,0.29083335,0.0,0.0,0.0,-1.0
323399731,323399373,-0.001175987,-0.006572687,0.0054588662,0.29083335,0.0,0.0,0.0,-1.0
323403512,323403170,-0.0071683074,-0.0034554282,0.003929385,0.28994375,0.0,0.0,0.0,-1.0
323407404,323406990,-0.006898536,-0.0030511457,0.005125976,0.28994375,0.0,0.0,0.0,-1.0
323411208,323410782,-0.010088252,-0.0029788502,0.007182798,0.28994375,0.0,0.0,0.0,-1.0
323413689,323413326,-0.0038156502,-0.00486394,0.0067284238,0.28994375,0.0,0.0,0.0,-1.0
323418719,323418394,0.0044752182,-0.0022186504,0.007090681,0.28994375,0.0,0.0,0.0,-1.0
323421338,323420944,3.4610897e-05,-0.00029235735,0.0039728847,0.2907274,0.0,0.0,0.0,-1.0
323515211,323514825,-0.00045415215,0.0044843433,0.004388783,0.29439074,0.0,0.0,0.0,-1.0
323518939,323518612,-0.0033432692,0.0030944191,0.0033655725,0.29439074,0.0,0.0,0.0,-1.0
