timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
344892380,14.435575,14.399857,16.730299,16.883152,0.0,123.089676,0.3589688,1.0953546,nan,4,3.5999641,3.5999641,3.5999641,3.5999641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
345193971,14.410514,14.395859,17.6679,16.886072,0.0,124.504715,0.3567558,1.0957153,nan,4,3.5989647,3.5989647,3.5989647,3.5989647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
345494319,14.448106,14.395121,17.4042,16.790668,0.0,125.89465,0.35595948,1.0958451,nan,4,3.5987802,3.5987802,3.5987802,3.5987802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
346392533,14.397983,14.402971,17.4042,16.30188,0.0,129.84166,0.3534332,1.0962573,nan,4,3.6007428,3.6007428,3.6007428,3.6007428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
346992196,14.147365,14.39363,16.994,16.464853,0.0,132.60309,0.35053402,1.0967306,nan,4,3.5984075,3.5984075,3.5984075,3.5984075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
347292247,14.523292,14.399213,15.8220005,16.441807,0.0,133.97636,0.3529063,1.0963433,nan,4,3.5998032,3.5998032,3.5998032,3.5998032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
347592787,14.636069,14.427975,14.0933,15.4358015,0.0,135.17056,0.36255604,1.0947704,nan,4,3.6069937,3.6069937,3.6069937,3.6069937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
347893401,14.748847,14.486599,6.1237,13.909966,0.0,136.16904,0.3649674,1.0943781,nan,4,3.6216497,3.6216497,3.6216497,3.6216497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
348792197,15.21249,14.833224,0.52739996,5.210909,0.0,137.13193,0.47121578,1.0773659,nan,4,3.708306,3.708306,3.708306,3.708306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
349392260,15.3127365,15.029562,0.6446,2.052666,0.0,137.24306,0.51899153,1.0698874,nan,4,3.7573905,3.7573905,3.7573905,3.7573905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
349694622,15.325268,15.099045,0.61529994,1.4293233,0.0,137.29898,0.5374103,1.0670319,nan,4,3.7747612,3.7747612,3.7747612,3.7747612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
349992362,15.35033,15.156619,0.7032,1.0856191,0.0,137.35396,0.5538135,1.0645016,nan,4,3.7891548,3.7891548,3.7891548,3.7891548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
350292572,15.375391,15.203584,0.6446,0.8911188,0.0,137.40833,0.567915,1.062336,nan,4,3.800896,3.800896,3.800896,3.800896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
350592224,15.337799,15.247122,0.2344,0.60154057,0.0,137.4289,0.58232886,1.0601314,nan,4,3.8117805,3.8117805,3.8117805,3.8117805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
350892369,15.387922,15.283931,0.3516,0.43433768,0.0,137.4479,0.5950714,1.0581902,nan,4,3.8209827,3.8209827,3.8209827,3.8209827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
351492342,15.375391,15.339995,0.2344,0.2948658,0.0,137.48639,0.6154004,1.0551078,nan,4,3.8349988,3.8349988,3.8349988,3.8349988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
