timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
319913175,32767,32767,32767,32767,32767,-15
319918260,32767,32767,32767,-32,8,32767
319923332,32767,32767,32767,32767,32767,-7
319928399,32767,32767,32767,32767,32767,32767
319933474,32767,32767,32767,32767,-17,-6
319938763,32767,32767,32767,32767,32767,32767
319943802,32767,32767,32767,32767,5,-8
319948761,32767,32767,32767,32767,32767,32767
319953766,32767,32767,32767,32767,32767,-3
319958849,32767,32767,32767,32767,-20,32767
319963931,32767,32767,32767,32767,32767,-11
319968995,32767,32767,32767,-31,5,32767
319974080,32767,32767,32767,32767,32767,-17
319979147,32767,32767,32767,32767,32767,32767
319984255,32767,32767,32767,32767,-21,-13
319989305,32767,32767,32767,32767,32767,32767
319994375,32767,32767,32767,32767,5,-17
319999445,32767,32767,32767,32767,32767,32767
320004519,32767,32767,32767,32767,32767,-6
320009600,32767,32767,32767,32767,-19,32767
320014672,32767,32767,32767,32767,32767,-17
320019997,32767,32767,32767,-34,6,32767
320025012,32767,32767,32767,32767,32767,-13
320030019,32767,32767,32767,32767,32767,32767
320034962,32767,32767,32767,32767,-19,-24
320040039,32767,32767,32767,32767,32767,32767
320045124,32767,32767,32767,32767,5,-12
320050207,32767,32767,32767,32767,32767,32767
320055277,32767,32767,32767,32767,32767,-17
320060356,32767,32767,32767,32767,-20,32767
320065414,32767,32767,32767,32767,32767,1
320070486,32767,32767,32767,32767,5,32767
320075592,32767,32767,32767,32767,32767,-24
320080644,32767,32767,32767,-32,32767,32767
320085709,32767,32767,32767,32767,-19,-16
320090813,32767,32767,32767,32767,32767,32767
320095865,32767,32767,32767,32767,8,-20
320100945,32767,32767,32767,32767,32767,32767
320106239,32767,32767,32767,32767,32767,-12
320111202,32767,32767,32767,32767,-20,32767
320116249,32767,32767,32767,32767,32767,-37
320121240,32767,32767,32767,32767,5,32767
320126308,32767,32767,32767,32767,32767,-39
320131386,32767,32767,32767,-28,32767,32767
320136454,32767,32767,32767,32767,-20,-33
320141532,32767,32767,32767,32767,32767,-2
320146604,32767,32767,32767,32767,4,32767
320151681,32767,32767,32767,32767,32767,2
320156761,32767,32767,32767,32767,32767,-29
320161829,32767,32767,32767,32767,-21,32767
320166907,32767,32767,32767,32767,32767,-41
320171976,32767,32767,32767,32767,8,32767
320177062,32767,32767,32767,32767,32767,-40
320182328,32767,32767,32767,-26,32767,1
320202426,32767,32767,32767,32767,32767,-6
320207498,32767,32767,32767,32767,32767,-29
320212577,32767,32767,32767,32767,-21,1
320217647,32767,32767,32767,32767,32767,32767
320222731,32767,32767,32767,32767,6,-3
320227805,32767,32767,32767,32767,32767,32767
320232876,32767,32767,32767,32767,32767,-14
320237948,32767,32767,32767,32767,-16,32767
320243020,32767,32767,32767,-32,32767,-7
320248096,32767,32767,32767,32767,32767,32767
320253174,32767,32767,32767,32767,-42,-4
320258249,32767,32767,32767,32767,32767,32767
320263623,32767,32767,32767,32767,-18,-16
320268659,32767,32767,32767,32767,32767,32767
320273594,32767,32767,32767,32767,32767,-11
320278582,32767,32767,32767,32767,-42,32767
320283619,32767,32767,32767,32767,32767,-21
320288699,32767,32767,32767,32767,-17,32767
320303917,32767,32767,32767,32767,32767,-5
320309018,32767,32767,32767,32767,32767,32767
320314063,32767,32767,32767,32767,-19,-16
320319140,32767,32767,32767,32767,32767,32767
320324248,32767,32767,32767,32767,10,-28
320329308,32767,32767,32767,32767,32767,32767
320334361,32767,32767,32767,32767,32767,-23
320339438,32767,32767,32767,32767,-16,32767
320344524,32767,32767,32767,-31,32767,-26
320349772,32767,32767,32767,32767,6,32767
320354801,32767,32767,32767,32767,32767,-8
320359814,32767,32767,32767,32767,32767,32767
320364828,32767,32767,32767,32767,-19,-18
320369890,32767,32767,32767,32767,32767,32767
320374965,32767,32767,32767,32767,5,-7
320380032,32767,32767,32767,32767,32767,32767
320385119,32767,32767,32767,32767,32767,-25
320390194,32767,32767,32767,32767,-19,32767
320395257,32767,32767,32767,32767,32767,-11
320400332,32767,32767,32767,32767,9,32767
320405404,32767,32767,32767,-28,32767,-15
320410489,32767,32767,32767,32767,32767,32767
320415554,32767,32767,32767,32767,-18,-15
320420638,32767,32767,32767,32767,32767,32767
320425717,32767,32767,32767,32767,9,-20
320431048,32767,32767,32767,32767,32767,32767
320435980,32767,32767,32767,32767,32767,-15
320441049,32767,32767,32767,32767,-19,32767
320446002,32767,32767,32767,32767,32767,-27
320451080,32767,32767,32767,32767,7,32767
320456152,32767,32767,32767,-19,32767,-5
320461236,32767,32767,32767,32767,32767,32767
320466310,32767,32767,32767,32767,-20,-15
320471376,32767,32767,32767,32767,32767,32767
320476457,32767,32767,32767,32767,5,-15
320481522,32767,32767,32767,32767,32767,-2
320486600,32767,32767,32767,32767,32767,32767
320491704,32767,32767,32767,32767,-18,32767
320496749,32767,32767,32767,32767,32767,-8
320501826,32767,32767,32767,32767,8,-4
320506917,32767,32767,32767,-21,32767,-14
320512191,32767,32767,32767,32767,32767,3
320517210,32767,32767,32767,32767,-21,32767
320522225,32767,32767,32767,32767,32767,32767
320527201,32767,32767,32767,32767,5,-21
320532275,32767,32767,32767,32767,32767,-4
320537352,32767,32767,32767,32767,32767,32767
320542417,32767,32767,32767,32767,-20,-11
320547491,32767,32767,32767,32767,32767,32767
320552569,32767,32767,32767,32767,5,-1
320557664,32767,32767,32767,32767,32767,-14
320562727,32767,32767,32767,32767,32767,-3
320583013,32767,32767,32767,32767,-42,-7
320588093,32767,32767,32767,32767,32767,32767
320593431,32767,32767,32767,32767,-19,-6
320598452,32767,32767,32767,32767,32767,32767
320603380,32767,32767,32767,32767,32767,-2
320608379,32767,32767,32767,32767,-42,32767
320613460,32767,32767,32767,32767,32767,-11
320618552,32767,32767,32767,-24,-18,32767
320623646,32767,32767,32767,32767,32767,-12
320628709,32767,32767,32767,32767,5,32767
320638860,32767,32767,32767,32767,32767,32767
320643915,32767,32767,32767,32767,-20,-16
320648993,32767,32767,32767,32767,32767,32767
320654059,32767,32767,32767,32767,10,-4
320659140,32767,32767,32767,32767,32767,32767
320664206,32767,32767,32767,32767,32767,-17
320669304,32767,32767,32767,32767,-16,32767
320674592,32767,32767,32767,32767,32767,-21
320709876,32767,32767,32767,32767,32767,32767
320714951,32767,32767,32767,32767,32767,-26
320720028,32767,32767,32767,32767,-21,32767
320725115,32767,32767,32767,32767,32767,-28
320730178,32767,32767,32767,32767,5,32767
320735256,32767,32767,32767,32767,32767,-39
320740346,32767,32767,32767,-17,32767,32767
320745406,32767,32767,32767,32767,-18,-31
320750472,32767,32767,32767,32767,32767,32767
320755775,32767,32767,32767,32767,7,-20
320760831,32767,32767,32767,32767,32767,32767
320765804,32767,32767,32767,32767,32767,-36
320770862,32767,32767,32767,32767,-19,32767
320775847,32767,32767,32767,32767,32767,-30
320780922,32767,32767,32767,32767,6,32767
320785994,32767,32767,32767,32767,32767,-36
320791085,32767,32767,32767,-19,32767,32767
321811072,32767,32767,32767,32767,-16,32767
321816130,32767,32767,32767,32767,32767,-13
321821438,32767,32767,32767,32767,5,0
321826466,32767,32767,32767,32767,32767,32767
321831449,32767,32767,32767,32767,32767,32767
321836426,32767,32767,32767,32767,-19,-20
321841509,32767,32767,32767,7,32767,32767
321846595,32767,32767,32767,32767,7,-29
321851665,32767,32767,32767,32767,32767,-5
321856717,32767,32767,32767,32767,32767,-13
321861801,32767,32767,32767,32767,-20,32767
321866875,32767,32767,32767,32767,32767,-14
321871960,32767,32767,32767,32767,8,-5
321877024,32767,32767,32767,32767,32767,32767
321882095,32767,32767,32767,32767,32767,3
321887165,32767,32767,32767,32767,-18,32767
321892259,32767,32767,32767,32767,32767,32767
