timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
318436485,0.68632257,-0.0034626934,0.0024362414,0.727285,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318441558,0.6863089,-0.0034570927,0.002437514,0.7272979,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318446630,0.6863148,-0.0034238915,0.0024400216,0.7272925,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318451716,0.6863257,-0.0034324361,0.0024375066,0.72728217,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318456782,0.686321,-0.0034616536,0.002438462,0.7272865,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318461862,0.68630695,-0.0034503462,0.0024373767,0.7272998,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318467191,0.6863099,-0.003426247,0.002442887,0.7272971,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318472151,0.68632513,-0.0034372571,0.002445499,0.7272827,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318477131,0.6863203,-0.0034555574,0.0024335056,0.72728723,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318482224,0.68629706,-0.0034409007,0.0024349694,0.7273092,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318487235,0.6863025,-0.003432999,0.002444615,0.7273041,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318492315,0.6863299,-0.0034506514,0.0024488033,0.72727805,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318497386,0.6863206,-0.0034553516,0.002438381,0.7272869,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318502461,0.68629503,-0.0034465936,0.0024362602,0.7273111,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318507525,0.68631005,-0.0034528172,0.0024483104,0.72729677,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318512609,0.6863339,-0.0034657484,0.002455304,0.72727424,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318517674,0.6863189,-0.0034531557,0.0024409678,0.72728854,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318522752,0.68629503,-0.0034431706,0.0024336386,0.7273111,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318527826,0.68631434,-0.0034524403,0.0024487865,0.7272927,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318532910,0.6863298,-0.003457212,0.0024573007,0.7272781,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318537973,0.68631107,-0.0034402322,0.002446772,0.7272959,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318543066,0.68630326,-0.0034394441,0.00243406,0.72730327,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318548341,0.6863247,-0.003453642,0.0024461257,0.727283,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318553354,0.686327,-0.0034492605,0.0024582152,0.72728086,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318558384,0.68630505,-0.003437015,0.0024544266,0.7273016,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318563352,0.6863086,-0.0034428986,0.0024348055,0.72729826,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318568423,0.6863215,-0.0034568806,0.0024431075,0.727286,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318573504,0.68631065,-0.0034553043,0.0024557547,0.7272963,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318578569,0.68629956,-0.0034474682,0.0024494932,0.7273067,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318583644,0.68631166,-0.0034478991,0.0024346777,0.72729534,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318588721,0.68631655,-0.0034475017,0.0024400062,0.7272907,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318593796,0.6862991,-0.0034452681,0.002458573,0.7273072,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318598868,0.6862999,-0.0034448141,0.0024520287,0.7273064,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318603973,0.68631965,-0.0034425529,0.0024336898,0.7272878,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318629567,0.6863078,-0.0034282391,0.0024422985,0.72729915,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318634573,0.68629026,-0.003444993,0.0024529386,0.7273155,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318639596,0.6863043,-0.0034451487,0.0024439741,0.7273024,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318644572,0.6863163,-0.0034228899,0.0024333273,0.7272911,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318649636,0.68630344,-0.003431658,0.0024413012,0.7273032,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318654692,0.6862938,-0.0034625677,0.0024478803,0.72731215,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318659765,0.68630546,-0.003452477,0.002443295,0.7273012,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318664846,0.6863127,-0.0034210184,0.002440215,0.7272945,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318669911,0.6863082,-0.0034331286,0.002442262,0.7272987,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318675008,0.68630034,-0.0034598312,0.00243603,0.727306,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318680074,0.6863068,-0.0034413657,0.0024368647,0.72730005,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
318685141,0.68631124,-0.0034140619,0.0024427797,0.72729594,0.9818129,4.5758765e-11,-3.2950273e-10,-0.1898514,3
