timestamp,ignore_thrust,ignore_attitude,ignore_bodyrate_x,ignore_bodyrate_y,ignore_bodyrate_z,ignore_position,ignore_velocity,ignore_acceleration_force,ignore_alt_hold
330688155,0,0,1,1,1,0,1,1,0
330786329,0,0,1,1,1,0,1,1,0
330886345,0,0,1,1,1,0,1,1,0
330986845,0,0,1,1,1,0,1,1,0
331086339,0,0,1,1,1,0,1,1,0
331192046,0,0,1,1,1,0,1,1,0
331390838,0,0,1,1,1,0,1,1,0
331490830,0,0,1,1,1,0,1,1,0
331591287,0,0,1,1,1,0,1,1,0
331687976,0,0,1,1,1,0,1,1,0
331786428,0,0,1,1,1,0,1,1,0
331891289,0,0,1,1,1,0,1,1,0
332091019,0,0,1,1,1,0,1,1,0
332190529,0,0,1,1,1,0,1,1,0
332292802,0,0,1,1,1,0,1,1,0
332390989,0,0,1,1,1,0,1,1,0
332491768,0,0,1,1,1,0,1,1,0
332591031,0,0,1,1,1,0,1,1,0
332690388,0,0,1,1,1,0,1,1,0
332786332,0,0,1,1,1,0,1,1,0
332890484,0,0,1,1,1,0,1,1,0
332992753,0,0,1,1,1,0,1,1,0
333095405,0,0,1,1,1,0,1,1,0
333191038,0,0,1,1,1,0,1,1,0
333292441,0,0,1,1,1,0,1,1,0
333391904,0,0,1,1,1,0,1,1,0
333490352,0,0,1,1,1,0,1,1,0
333686806,0,0,1,1,1,0,1,1,0
333791161,0,0,1,1,1,0,1,1,0
333890882,0,0,1,1,1,0,1,1,0
333992831,0,0,1,1,1,0,1,1,0
334090096,0,0,1,1,1,0,1,1,0
334190305,0,0,1,1,1,0,1,1,0
334392408,0,0,1,1,1,0,1,1,0
334591524,0,0,1,1,1,0,1,1,0
334685566,0,0,1,1,1,0,1,1,0
334790335,0,0,1,1,1,0,1,1,0
334890331,0,0,1,1,1,0,1,1,0
334992517,0,0,1,1,1,0,1,1,0
335090256,0,0,1,1,1,0,1,1,0
336190007,0,0,1,1,1,0,1,1,0
336289437,0,0,1,1,1,0,1,1,0
336490126,0,0,1,1,1,0,1,1,0
336594649,0,0,1,1,1,0,1,1,0
336689593,0,0,1,1,1,0,1,1,0
